taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
9153810	7ddf754f-d193-4cc9-b351-99906754a03b	1374118	1378533		Berecyntus bakeri euxoae Strickland, 1916	Strickland, 1916	Berecyntus bakeri euxoae	Berecyntus	bakeri	euxoae	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Copidosoma
9352111	1ec61203-14fa-4fbd-8ee5-a4a80257b45a	1311772			Parapolybia nodosa van-der Vecht, 1966	Vecht, 1966	Parapolybia nodosa van-der	Parapolybia	nodosa	van der	subspecies			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Parapolybia
8982667	6cfd67d6-4f9b-400b-8549-1933ac27936f	8803805			Leptocimbex potanini var. sinobirmanica Malaise, 1939	Malaise, 1939	Leptocimbex potanini sinobirmanica	Leptocimbex	potanini	sinobirmanica	variety			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Cimbicidae	Leptocimbex
6253208	7ddf754f-d193-4cc9-b351-99906754a03b	1363287	1362306		Brachymeria kassalensis scutellaris Masi, 1951	Masi, 1951	Brachymeria kassalensis scutellaris	Brachymeria	kassalensis	scutellaris	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Chalcididae	Brachymeria
6253200	7ddf754f-d193-4cc9-b351-99906754a03b	1363287	1362366		Brachymeria leighi intermedia Masi, 1940	Masi, 1940	Brachymeria leighi intermedia	Brachymeria	leighi	intermedia	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Chalcididae	Brachymeria
6253199	7ddf754f-d193-4cc9-b351-99906754a03b	1363287	1362366		Brachymeria leighi albescens Masi, 1940	Masi, 1940	Brachymeria leighi albescens	Brachymeria	leighi	albescens	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Chalcididae	Brachymeria
7389375	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis deserta G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis deserta	Larropsis	deserta		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
7449619	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis lucida G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis lucida	Larropsis	lucida		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
8135104	7ddf754f-d193-4cc9-b351-99906754a03b	4298371			Didineis dilata Malloch & Rohwer, 1930	Malloch & Rohwer, 1930	Didineis dilata	Didineis	dilata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Didineis
1401230	7ddf754f-d193-4cc9-b351-99906754a03b	1401204			Apegus rufipes Kozlov & Kononova, 1986	Kozlov & Kononova, 1986	Apegus rufipes	Apegus	rufipes		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Apegus
8660476	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4671698			Gurvanotrupes exiguus Zhang & Zhang, 2001	Zhang & Zhang, 2001	Gurvanotrupes exiguus	Gurvanotrupes	exiguus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Proctotrupidae	Gurvanotrupes
7981941	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis elegans G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis elegans	Larropsis	elegans		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
